seed,model,variant,status,coco/bbox_mAP,coco/bbox_mAP_50,coco/bbox_mAP_75,coco/bbox_mAP_s,coco/bbox_mAP_m,coco/bbox_mAP_l,repo,source,timestamp
42,cascade_rcnn,base,missing,,,,,,,,,
42,cascade_rcnn,dgfe_api,ok,0.364,0.916,0.158,0.36,0.373,-1.0,duyle2408/varroa_mmdet_runs_newmodels,hf_results_newmodels/downloads/duyle2408__varroa_mmdet_runs_newmodels/varroa_4models_seed42/cascade_rcnn/dgfe_api/test_results/20260713_114351,2026-07-14T19:04:05.923705
42,faster_rcnn,base,missing,,,,,,,,,
42,faster_rcnn,dgfe_api,ok,0.366,0.906,0.167,0.366,0.374,-1.0,duyle2408/varroa_mmdet_runs_newmodels,hf_results_newmodels/downloads/duyle2408__varroa_mmdet_runs_newmodels/varroa_4models_seed42/faster_rcnn/dgfe_api/test_results/20260713_114426,2026-07-14T19:04:07.815677
42,fcos,base,missing,,,,,,,,,
42,fcos,dgfe_api,ok,0.331,0.886,0.12,0.309,0.368,-1.0,duyle2408/varroa_mmdet_runs_newmodels,hf_results_newmodels/downloads/duyle2408__varroa_mmdet_runs_newmodels/varroa_4models_seed42/fcos/dgfe_api/test_results/20260713_114456,2026-07-14T19:04:08.740663
43,cascade_rcnn,base,missing,,,,,,,,,
43,cascade_rcnn,dgfe_api,ok,0.364,0.912,0.177,0.349,0.386,-1.0,duyle2408/varroa_mmdet_runs_newmodels,hf_results_newmodels/downloads/duyle2408__varroa_mmdet_runs_newmodels/varroa_4models_seed43/cascade_rcnn/dgfe_api/test_results/20260713_114535,2026-07-14T19:04:10.534636
43,faster_rcnn,base,missing,,,,,,,,,
43,faster_rcnn,dgfe_api,ok,0.363,0.91,0.187,0.352,0.384,-1.0,duyle2408/varroa_mmdet_runs_newmodels,hf_results_newmodels/downloads/duyle2408__varroa_mmdet_runs_newmodels/varroa_4models_seed43/faster_rcnn/dgfe_api/test_results/20260713_114608,2026-07-14T19:04:12.179612
43,fcos,base,missing,,,,,,,,,
43,fcos,dgfe_api,ok,0.323,0.902,0.122,0.309,0.363,-1.0,duyle2408/varroa_mmdet_runs_newmodels,hf_results_newmodels/downloads/duyle2408__varroa_mmdet_runs_newmodels/varroa_4models_seed43/fcos/dgfe_api/test_results/20260713_114638,2026-07-14T19:04:13.756588
44,cascade_rcnn,base,ok,0.32,0.888,0.103,0.324,0.322,-1.0,duyle2408/varroa_mmdet_runs_newmodels,hf_results_newmodels/downloads/duyle2408__varroa_mmdet_runs_newmodels/varroa_4models_seed44/cascade_rcnn/base/test_results/20260713_053633,2026-07-14T19:04:14.604576
44,cascade_rcnn,dgfe_api,ok,0.322,0.894,0.093,0.328,0.324,-1.0,duyle2408/varroa_mmdet_runs_newmodels,hf_results_newmodels/downloads/duyle2408__varroa_mmdet_runs_newmodels/varroa_4models_seed44/cascade_rcnn/dgfe_api/test_results/20260713_123250,2026-07-14T19:04:15.438564
44,faster_rcnn,base,ok,0.332,0.906,0.115,0.334,0.339,-1.0,duyle2408/varroa_mmdet_runs_newmodels,hf_results_newmodels/downloads/duyle2408__varroa_mmdet_runs_newmodels/varroa_4models_seed44/faster_rcnn/base/test_results/20260713_055246,2026-07-14T19:04:16.452549
44,faster_rcnn,dgfe_api,ok,0.33,0.892,0.12,0.332,0.336,-1.0,duyle2408/varroa_mmdet_runs_newmodels,hf_results_newmodels/downloads/duyle2408__varroa_mmdet_runs_newmodels/varroa_4models_seed44/faster_rcnn/dgfe_api/test_results/20260713_130003,2026-07-14T19:04:17.284536
44,fcos,base,ok,0.3,0.883,0.081,0.283,0.333,-1.0,duyle2408/varroa_mmdet_runs_newmodels,hf_results_newmodels/downloads/duyle2408__varroa_mmdet_runs_newmodels/varroa_4models_seed44/fcos/base/test_results/20260713_060338,2026-07-14T19:04:18.197523
44,fcos,dgfe_api,ok,0.294,0.866,0.097,0.282,0.317,-1.0,duyle2408/varroa_mmdet_runs_newmodels,hf_results_newmodels/downloads/duyle2408__varroa_mmdet_runs_newmodels/varroa_4models_seed44/fcos/dgfe_api/test_results/20260713_131509,2026-07-14T19:04:19.027510
